Date,Se-Jong,Cheon-An,Gong-Ju
2020-11-25,341131,676374,110744
2020-11-25,341118,676399,110745
2020-11-25,341105,676424,110746
2020-11-25,341092,676449,110747
2020-11-25,341079,676474,110748
2020-11-25,341066,676499,110749
2020-11-25,341053,676524,110750
2020-11-25,341040,676549,110751
2020-11-25,341027,676574,110752
2020-11-25,341014,676599,110753
2020-11-25,341001,676624,110754
2020-11-25,340988,676649,110755
2020-11-25,340975,676674,110756
2020-11-25,340962,676699,110757
2020-11-25,340949,676724,110758
2020-11-25,340936,676749,110759
2020-11-25,340923,676774,110760
2020-11-25,340910,676799,110761
2020-11-25,340897,676824,110762
2020-11-25,340884,676849,110763
2020-11-25,340871,676874,110764
2020-11-25,340858,676899,110765
2020-11-25,340845,676924,110766
2020-11-25,340832,676949,110767
2020-11-25,340819,676974,110768
2020-11-25,340806,676999,110769
2020-11-25,340793,677024,110770
2020-11-25,340780,677049,110771
2020-11-25,340767,677074,110772
2020-11-25,340754,677099,110773
2020-11-25,340741,677124,110774
2020-11-25,340728,677149,110775
2020-11-25,340715,677174,110776
2020-11-25,340702,677199,110777
2020-11-25,340689,677224,110778
2020-11-25,340676,677249,110779
2020-11-25,340663,677274,110780
2020-11-25,340650,677299,110781
2020-11-25,340637,677324,110782
2020-11-25,340624,677349,110783
2020-11-25,340611,677374,110784
2020-11-25,340598,677399,110785
2020-11-25,340585,677424,110786
2020-11-25,340572,677449,110787
2020-11-25,340559,677474,110788
2020-11-25,340546,677499,110789
2020-11-25,340533,677524,110790
2020-11-25,340520,677549,110791
2020-11-25,340507,677574,110792
2020-11-25,340494,677599,110793
2020-11-25,340481,677624,110794
2020-11-25,340468,677649,110795
2020-11-25,340455,677674,110796
2020-11-25,340442,677699,110797
2020-11-25,340429,677724,110798
2020-11-25,340416,677749,110799
2020-11-25,340403,677774,110800
2020-11-25,340390,677799,110801
2020-11-25,340377,677824,110802
2020-11-25,340364,677849,110803
2020-11-25,340351,677874,110804
2020-11-25,340338,677899,110805
2020-11-25,340325,677924,110806
2020-11-25,340312,677949,110807
2020-11-25,340299,677974,110808
2020-11-25,340286,677999,110809
2020-11-25,340274,678024,110810
2020-11-25,340262,678049,110811
2020-11-25,340250,678074,110812
2020-11-25,340238,678099,110813
2020-11-25,340226,678124,110814
2020-11-25,340214,678149,110815
2020-11-25,340202,678174,110816
2020-11-25,340190,678199,110817
2020-11-25,340178,678224,110818
2020-11-25,340166,678249,110819
2020-11-25,340154,678274,110820
2020-11-25,340142,678299,110821
2020-11-25,340130,678324,110822
2020-11-25,340118,678349,110823
2020-11-25,340106,678374,110824
2020-11-25,340094,678399,110825
2020-11-25,340082,678424,110826
2020-11-25,340070,678449,110827
2020-11-25,340058,678474,110828
2020-11-25,340046,678499,110829
2020-11-25,340034,678524,110830
2020-11-25,340022,678549,110831
2020-11-25,340010,678574,110832
2020-11-25,339998,678599,110833
2020-11-25,339986,678624,110834
2020-11-25,339974,678649,110835
2020-11-25,339962,678674,110836
2020-11-25,339950,678699,110837
2020-11-25,339938,678724,110838
2020-11-25,339926,678749,110839
2020-11-25,339914,678774,110840
2020-11-25,339902,678799,110841
2020-11-25,339890,678824,110842
2020-11-25,339878,678849,110843
2020-11-25,339866,678874,110844
2020-11-25,339854,678899,110845
2020-11-25,339842,678924,110846
2020-11-25,339830,678949,110847
2020-11-25,339818,678974,110848
2020-11-25,339806,678999,110849
2020-11-25,339794,679024,110850
2020-11-25,339782,679049,110851
2020-11-25,339770,679074,110852
2020-11-25,339758,679099,110853
2020-11-25,339746,679124,110854
2020-11-25,339734,679149,110855
2020-11-25,339722,679174,110856
2020-11-25,339710,679199,110857
2020-11-25,339698,679224,110858
2020-11-25,339686,679249,110859
2020-11-25,339674,679273,110860
2020-11-25,339662,679297,110861
2020-11-25,339650,679321,110862
2020-11-25,339638,679345,110863
2020-11-25,339626,679369,110864
2020-11-25,339614,679393,110865
2020-11-25,339602,679417,110866
2020-11-25,339590,679441,110867
2020-11-25,339578,679465,110868
2020-11-25,339566,679489,110869
2020-11-25,339554,679513,110870
2020-11-25,339542,679537,110871
2020-11-25,339530,679561,110872
2020-11-25,339518,679585,110873
2020-11-25,339506,679609,110874
2020-11-25,339494,679633,110875
2020-11-25,339482,679657,110876
2020-11-25,339470,679681,110877
2020-11-25,339458,679705,110878
2020-11-25,339446,679729,110879
2020-11-25,339434,679753,110880
2020-11-25,339422,679777,110881
2020-11-25,339410,679801,110882
2020-11-25,339398,679825,110883
2020-11-25,339386,679849,110884
2020-11-25,339374,679873,110885
2020-11-25,339362,679897,110886
2020-11-25,339350,679921,110887
2020-11-25,339338,679945,110888
2020-11-25,339326,679969,110889
2020-11-25,339314,679993,110890
2020-11-25,339302,680017,110891
2020-11-25,339290,680041,110892
2020-11-25,339278,680065,110893
2020-11-25,339266,680089,110894
2020-11-25,339254,680113,110895
2020-11-25,339242,680137,110896
2020-11-25,339230,680161,110897
2020-11-25,339218,680185,110898
2020-11-25,339206,680209,110899
2020-11-25,339194,680233,110900
2020-11-25,339182,680257,110901
2020-11-25,339170,680281,110902
2020-11-25,339158,680305,110903
2020-11-25,339146,680329,110904
2020-11-25,339134,680353,110905
2020-11-25,339122,680377,110906
2020-11-25,339110,680401,110907
2020-11-25,339098,680425,110908
2020-11-25,339086,680449,110909
2020-11-25,339074,680473,110910
2020-11-25,339062,680497,110911
2020-11-25,339050,680521,110912
2020-11-25,339038,680545,110913
2020-11-25,339026,680569,110914
2020-11-25,339014,680593,110915
2020-11-25,339002,680617,110916
2020-11-25,338990,680641,110917
2020-11-25,338978,680665,110918
2020-11-25,338966,680689,110919
2020-11-25,338954,680713,110920
2020-11-25,338942,680737,110921
2020-11-25,338930,680761,110922
2020-11-25,338918,680785,110923
2020-11-25,338906,680809,110924
2020-11-25,338894,680833,110925
2020-11-25,338882,680857,110926
2020-11-25,338870,680881,110927
2020-11-25,338858,680905,110928
2020-11-25,338846,680929,110929
2020-11-25,338834,680953,110930
2020-11-25,338822,680977,110931
2020-11-25,338810,681001,110932
2020-11-25,338798,681025,110933
2020-11-25,338786,681049,110934
2020-11-25,338774,681073,110935
2020-11-25,338762,681097,110936
2020-11-25,338750,681121,110937
2020-11-25,338738,681145,110938
2020-11-25,338726,681169,110939
2020-11-25,338714,681193,110940
2020-11-25,338702,681217,110941
2020-11-25,338690,681241,110942
2020-11-25,338678,681265,110943
2020-11-25,338666,681289,110944
2020-11-25,338654,681313,110945
2020-11-25,338642,681337,110946
2020-11-25,338630,681361,110947
2020-11-25,338618,681385,110948
2020-11-25,338606,681409,110949
2020-11-25,338594,681433,110950
2020-11-25,338582,681457,110951
2020-11-25,338570,681481,110952
2020-11-25,338558,681505,110953
2020-11-25,338546,681529,110954
2020-11-25,338534,681553,110955
2020-11-25,338522,681577,110956
2020-11-25,338510,681601,110957
2020-11-25,338498,681625,110958
2020-11-25,338486,681649,110959
2020-11-25,338474,681673,110960
2020-11-25,338462,681697,110961
2020-11-25,338450,681721,110962
2020-11-25,338438,681745,110963
2020-11-25,338426,681769,110964
2020-11-25,338414,681793,110965
2020-11-25,338402,681817,110966
2020-11-25,338390,681841,110967
2020-11-25,338378,681865,110968
2020-11-25,338366,681889,110969
2020-11-25,338354,681913,110970
2020-11-25,338342,681937,110971
2020-11-25,338330,681961,110972
2020-11-25,338318,681985,110973
2020-11-25,338306,682009,110974
2020-11-25,338294,682033,110975
2020-11-25,338282,682057,110976
2020-11-25,338270,682081,110977
