Date,Se-Jong,Cheon-An,Gong-Ju
2076-11-25,322953.0,941522,124723
2076-12-25,323024.0,941818,124756
2077-1-25,323095.0,942114,124789
2077-2-25,323166.0,942410,124822
2077-3-25,323237.0,942706,124855
2077-4-25,323308.0,943002,124888
2077-5-25,323379.0,943298,124921
2077-6-25,323450.0,943594,124954
2077-7-25,323521.0,943890,124987
2077-8-25,323592.0,944186,125020
2077-9-25,323663.0,944482,125053
2077-10-25,323734.0,944778,125086
2077-11-25,323805.0,945073,125119
2077-12-25,323877.0,945368,125152
2078-1-25,323949.0,945663,125185
2078-2-25,324021.0,945958,125218
2078-3-25,324093.0,946253,125251
2078-4-25,324165.0,946548,125284
2078-5-25,324237.0,946843,125317
2078-6-25,324309.0,947138,125350
2078-7-25,324381.0,947433,125383
2078-8-25,324453.0,947728,125416
2078-9-25,324525.0,948023,125449
2078-10-25,324597.0,948318,125482
2078-11-25,324669.0,948613,125515
2078-12-25,324741.0,948908,125548
2079-1-25,324813.0,949203,125581
2079-2-25,324885.0,949498,125614
2079-3-25,324957.0,949793,125647
2079-4-25,325029.0,950088,125680
2079-5-25,325101.0,950382,125713
2079-6-25,325173.0,950676,125746
2079-7-25,325245.0,950970,125779
2079-8-25,325317.0,951264,125812
2079-9-25,325389.0,951558,125845
2079-10-25,325461.0,951852,125878
2079-11-25,325533.0,952146,125911
2079-12-25,325605.0,952440,125944
2080-1-25,325678.0,952734,125977
2080-2-25,325751.0,953028,126010
2080-3-25,325824.0,953322,126043
2080-4-25,325897.0,953616,126076
2080-5-25,325970.0,953910,126109
2080-6-25,326043.0,954204,126142
2080-7-25,326116.0,954498,126176
2080-8-25,326189.0,954792,126210
2080-9-25,326262.0,955086,126244
2080-10-25,326335.0,955380,126278
2080-11-25,326408.0,955674,126312
2080-12-25,326481.0,955968,126346
2081-1-25,326554.0,956261,126380
2081-2-25,326627.0,956554,126414
2081-3-25,326700.0,956847,126448
2081-4-25,326773.0,957140,126482
2081-5-25,326846.0,957433,126516
2081-6-25,326919.0,957726,126550
2081-7-25,326992.0,958019,126584
2081-8-25,327065.0,958312,126618
2081-9-25,327138.0,958605,126652
2081-10-25,327211.0,958898,126686
